kind,dimension,trial,time,L_t,beta_t,rejected
trial_final,3,0,100000,256931.45716042386,72712.83224153821,True
trial_final,3,1,100000,254193.05002728905,71388.27967807099,True
trial_final,3,2,100000,253828.19639263483,71024.15202514474,True
trial_final,3,3,100000,256373.14615105974,71672.46935660577,True
trial_final,3,4,100000,255310.3684182074,71549.0421392714,True
trial_final,3,5,100000,248589.79253104655,69916.37005600514,True
trial_final,3,6,100000,255286.71466008876,71527.73832729954,True
trial_final,3,7,100000,256908.544068826,72042.70768638999,True
trial_final,3,8,100000,256082.19047862766,71558.98192194659,True
trial_final,3,9,100000,254913.08154346258,71487.94276119053,True
trial_final,3,10,100000,259020.38269741577,72445.21916478715,True
trial_final,3,11,100000,249131.69691032893,69915.08668392422,True
trial_final,3,12,100000,251698.63233252653,70617.58263213659,True
trial_final,3,13,100000,257815.70644947235,72244.34968515701,True
trial_final,3,14,100000,257748.40873485323,72199.42258418984,True
trial_final,3,15,100000,257206.90349539032,72297.93496816982,True
trial_final,3,16,100000,257676.66862142482,72241.43469500176,True
trial_final,3,17,100000,253886.17361000297,71356.76781375599,True
trial_final,3,18,100000,253723.53162646503,71005.46239112117,True
trial_final,3,19,100000,259027.50948625628,72638.6591163521,True
checkpoint,3,0,1000,1929.50671967909,37594.280899372716,False
checkpoint,3,0,5000,12374.573756138252,40823.09019504298,False
checkpoint,3,0,10000,26167.787199148544,44564.01055205649,False
checkpoint,3,0,25000,64158.15852460455,52374.34829315324,True
checkpoint,3,0,50000,128099.69135660441,61321.78278128511,True
checkpoint,3,0,100000,256931.22860739287,72712.83224153821,True
trial_final,5,0,100000,241355.3837531765,72712.83224153821,True
trial_final,5,1,100000,240881.52810287478,71388.27967807099,True
trial_final,5,2,100000,240511.44486349286,71024.15202514474,True
trial_final,5,3,100000,242580.96395066704,71672.46935660577,True
trial_final,5,4,100000,241633.68317171716,71549.0421392714,True
trial_final,5,5,100000,236153.78508918697,69916.37005600514,True
trial_final,5,6,100000,241687.18646294397,71527.73832729954,True
trial_final,5,7,100000,242919.30903959065,72042.70768638999,True
trial_final,5,8,100000,242613.86347491012,71558.98192194659,True
trial_final,5,9,100000,241436.71100457013,71487.94276119053,True
trial_final,5,10,100000,244798.47413779964,72445.21916478715,True
trial_final,5,11,100000,236442.83303876407,69915.08668392422,True
trial_final,5,12,100000,238901.0114679941,70617.58263213659,True
trial_final,5,13,100000,243706.26373553264,72244.34968515701,True
trial_final,5,14,100000,243448.3073133979,72199.42258418984,True
trial_final,5,15,100000,242518.75345682225,72297.93496816982,True
trial_final,5,16,100000,243644.07971589838,72241.43469500176,True
trial_final,5,17,100000,240350.78055506834,71356.76781375599,True
trial_final,5,18,100000,240561.5645338092,71005.46239112117,True
trial_final,5,19,100000,244009.78789111378,72638.6591163521,True
checkpoint,5,0,1000,0.0,37594.280899372716,False
checkpoint,5,0,5000,11742.332417621095,40823.09019504298,False
checkpoint,5,0,10000,24752.721841720988,44564.01055205649,False
checkpoint,5,0,25000,60814.50500184802,52374.34829315324,True
checkpoint,5,0,50000,120929.55244842607,61321.78278128511,True
checkpoint,5,0,100000,241355.38054627774,72712.83224153821,True
trial_final,7,0,100000,230321.3730475788,72712.83224153821,True
trial_final,7,1,100000,231192.37686862113,71388.27967807099,True
trial_final,7,2,100000,0.0,71024.15202514474,False
trial_final,7,3,100000,232629.2043442723,71672.46935660577,True
trial_final,7,4,100000,232670.07986625115,71549.0421392714,True
trial_final,7,5,100000,228537.9054316582,69916.37005600514,True
trial_final,7,6,100000,232609.62938953616,71527.73832729954,True
trial_final,7,7,100000,232572.49058450828,72042.70768638999,True
trial_final,7,8,100000,233241.7754228836,71558.98192194659,True
trial_final,7,9,100000,232365.13202668168,71487.94276119053,True
trial_final,7,10,100000,234398.73938562738,72445.21916478715,True
trial_final,7,11,100000,228910.2674484664,69915.08668392422,True
trial_final,7,12,100000,0.0,70617.58263213659,False
trial_final,7,13,100000,233023.91873541218,72244.34968515701,True
trial_final,7,14,100000,233025.73922690688,72199.42258418984,True
trial_final,7,15,100000,231478.1209171696,72297.93496816982,True
trial_final,7,16,100000,233024.6561071066,72241.43469500176,True
trial_final,7,17,100000,230219.16294542502,71356.76781375599,True
trial_final,7,18,100000,0.0,71005.46239112117,False
trial_final,7,19,100000,233278.42378947942,72638.6591163521,True
checkpoint,7,0,1000,0.0,37594.280899372716,False
checkpoint,7,0,5000,11494.388789543576,40823.09019504298,False
checkpoint,7,0,10000,23883.33197387887,44564.01055205649,False
checkpoint,7,0,25000,58414.25607504299,52374.34829315324,True
checkpoint,7,0,50000,115360.05554218487,61321.78278128511,True
checkpoint,7,0,100000,230290.7862988544,72712.83224153821,True
