states,replicate,family,kernel,pi_min,gamma_ps,gamma_ps_best_k,gamma_ps_tested_k,finite_tail_upper,paper_C_P,exact_poisson_operator_norm,sign_witness_norm,bound_slack,direct_n0_max,minimum_n0_margin,n0_repair_pass,paper_bound_pass
2,0,dense,"[[0.06516138640612675,0.9348386135938732],[0.9641252899588864,0.03587471004111365]]",0.49228877486554096,0.19186390010918475,1,6,0.14285714285714285,24.575940047946162,0.5347244612544613,0.5347244612544613,24.0412155866917,1.0154224502689182,1.4604754730168839,True,True
2,0,sticky,"[[0.9252129109124901,0.07478708908750986],[0.0771300231967109,0.9228699768032891]]",0.4922887748655406,0.2807554155636649,1,4,0.2,16.872256355860657,6.684055765680767,6.684055765680767,10.188200590179889,1.0154224502689186,1.5393765102313575,True,True
2,0,cycle,"[[0.007819366368735209,0.9921806336312647],[0.9956950347950664,0.004304965204933638]]",0.49911604100306134,0.024101663731229572,1,42,0.023255813953488372,193.66373273087154,0.5039389202781029,0.5039389202781029,193.15979381059344,1.0017679179938774,1.345663742366168,True,True
2,0,reversible,"[[0.4931942960144667,0.5068057039855334],[0.45520726056953253,0.5447927394304675]]",0.47318204363292266,0.9985569851381053,1,2,0.3333333333333333,39.968892493092085,1.0952408663447326,1.0952408663447326,38.87365162674735,1.0536359127341548,35.49435031119722,True,True
2,0,skewed,"[[0.8661713009833731,0.1338286990166269],[0.01617130098337311,0.9838286990166268]]",0.10780867322248724,0.27749999999999997,1,4,0.2,36.46935680705558,11.895884357033506,11.895884357033506,24.573472450022077,1.7843826535550256,1.6859740995646315,True,True
2,1,dense,"[[0.36426842545386373,0.6357315745461363],[0.6824210556076077,0.31757894439239226]]",0.48228980468823784,0.8987789039262549,1,2,0.3333333333333333,7.551562144058881,0.785508724056301,0.785508724056301,6.76605342000258,1.0354203906235244,4.005171646082111,True,True
2,1,sticky,"[[0.9491414740363091,0.0508585259636909],[0.05459368444860862,0.9454063155513914]]",0.48228980468823784,0.19978425214375906,1,6,0.14285714285714285,23.85249727506726,9.81885905070377,9.81885905070377,14.033638224363491,1.0354203906235244,1.4631494919223784,True,True
2,1,cycle,"[[0.04371221105446364,0.9562877889455363],[0.961890526672913,0.03810947332708707]]",0.4985395680678492,0.15694858072806728,1,7,0.125,29.818973163098597,0.5228506941707061,0.5228506941707061,29.29612246892789,1.0029208638643015,1.4356434155067939,True,True
2,1,reversible,"[[0.34367209542584726,0.6563279045741527],[0.5449182141503427,0.4550817858496573]]",0.4536274504087026,0.9594999996983263,1,2,0.3333333333333333,9.883235509927,0.9096762787819798,0.9096762787819798,8.97355923114502,1.0927450991825949,6.2858658953127815,True,True
2,1,skewed,"[[0.8523098274939804,0.14769017250601957],[0.0023098274939804264,0.9976901725060195]]",0.01539884995986986,0.27749999999999997,1,4,0.2,96.49633323118105,13.128015333868401,13.128015333868401,83.36831789731265,1.9692023000802603,1.7793584673357556,True,True
3,0,dense,"[[0.3071012444743126,0.5208895828032398,0.17200917272244745],[0.40911293959279776,0.07462915124211178,0.5162579091650904],[0.9211696112674173,0.026847481754687135,0.051982906977895406]]",0.23916427222588166,0.714850379424057,1,2,0.3333333333333333,10.553781470979294,1.122400786891018,1.122400786891018,9.431380684088275,1.5216714555482367,2.4277788734837786,True,True
3,0,sticky,"[[0.9445680995579451,0.04167116662425919,0.013760733817795797],[0.03272903516742382,0.925970332099369,0.041300632733207235],[0.07369356890139338,0.0021477985403749707,0.9241586325582317]]",0.23916427222588255,0.18553055937594165,1,6,0.14285714285714285,36.45411015989502,14.030009836137719,14.030009836137719,22.424100323757305,1.521671455548235,1.4679647127546587,True,True
3,0,cycle,"[[0.03685214933691751,0.9425067499363888,0.020641100726693694],[0.04909355275113573,0.008955498149053413,0.9419509490998108],[0.9905403533520901,0.003221697810562456,0.006237948837347448]]",0.3213032528469109,0.10697656865988721,3,10,0.09090909090909091,54.42974747058151,0.7124767319130305,0.7124767319130305,53.71727073866848,1.3573934943061783,1.5739900068455652,True,True
3,0,reversible,"[[0.23413357956306965,0.5933572367808622,0.17250918365606824],[0.29431447098070807,0.42388720908302996,0.281798319936262],[0.1334974856300038,0.43964677612344716,0.42685573824654915]]",0.23211046794699342,0.9558632751056124,1,2,0.3333333333333333,13.441927456589365,1.72714226355935,1.72714226355935,11.714785193030014,1.5357790641060132,6.413948038481617,True,True
3,0,skewed,"[[0.8658091470125089,0.045599580796554406,0.08859127219093664],[0.01580914701250894,0.8955995807965544,0.08859127219093664],[0.01580914701250894,0.045599580796554406,0.9385912721909366]]",0.10539431341672681,0.27749999999999975,1,4,0.2,36.8847093070768,11.928075821110305,11.928075821110305,24.956633485966492,1.7892113731665464,1.5184196338829241,True,True
3,1,dense,"[[0.5962918642519315,0.306227037070949,0.0974810986771196],[0.07242684086726761,0.49602960973110677,0.43154354940162554],[0.3248984159914392,0.02670112716460656,0.6484004568439543]]",0.24117798001439944,0.7546354902296346,1,2,0.3333333333333333,10.23594843990886,1.9753925233017318,1.9753925233017318,8.260555916607128,1.5176440399712012,2.8218380847407563,True,True
3,1,sticky,"[[0.9677033491401545,0.02449816296567592,0.007798487894169568],[0.005794147269381409,0.9596823687784886,0.03452348395213004],[0.025991873279315136,0.002136090173168525,0.9718720365475164]]",0.24117798001439963,0.09051237757193331,1,12,0.07692307692307693,74.23102204308603,24.69240654127169,24.69240654127169,49.538615501814334,1.5176440399712008,1.4752219953840315,True,True
3,1,cycle,"[[0.07155502371023177,0.9167472444485139,0.011697731841254352],[0.008691220904072114,0.05952355316773281,0.931785225928195],[0.9189878099189727,0.003204135259752787,0.07780805482127451]]",0.32833415122939885,0.20389260639227647,1,5,0.16666666666666666,28.3310736611918,0.7256122329239593,0.7256122329239593,27.60546142826784,1.3433316975412022,1.689672214633326,True,True
3,1,reversible,"[[0.21276637748370894,0.49039746528652184,0.29683615722976914],[0.25603944053328725,0.35775616137019983,0.38620439809651297],[0.18559587921750062,0.4624982471496796,0.3519058736328198]]",0.22149923545475522,0.9860154603398386,1,2,0.3333333333333333,21.003778518975373,1.5477034163215588,1.5477034163215588,19.456075102653813,1.5570015290904895,12.230426001750551,True,True
3,1,skewed,"[[0.8919877944337886,0.025734467336180757,0.08227773823003068],[0.04198779443378859,0.8757344673361808,0.08227773823003068],[0.04198779443378859,0.025734467336180757,0.9322777382300307]]",0.1715631155745382,0.27749999999999986,1,4,0.2,28.909660554297364,11.045825125672824,11.045825125672824,17.86383542862454,1.6568737688509236,1.522253883855008,True,True
5,0,dense,"[[0.11346743420470522,0.5319793985861462,0.15974157607026182,0.006305570800014758,0.18850602033887198],[0.6254067535273176,0.1177104647478883,0.023287751278251573,0.19850640972633896,0.03508862072020365],[0.014424876018302488,0.45197913957566627,0.23731477287877634,0.055231207473898536,0.24105000405335653],[0.037396880627520446,0.12448066385526935,0.4963913453393537,0.3202547797856436,0.02147633039221289],[0.06098040090440565,0.13744418366424319,0.31572825253107273,0.11102114346428023,0.37482601943599814]]",0.1280186422101743,0.5376199259384047,1,2,0.3333333333333333,17.895867240842833,2.600426058043439,2.600426058043439,15.295441182799394,1.7439627155796513,2.425639208450699,True,True
5,0,sticky,"[[0.9290773947363764,0.04255835188689169,0.012779326085620947,0.0005044456640011807,0.01508048162710976],[0.05003254028218541,0.9294168371798311,0.0018630201022601259,0.015880512778107116,0.0028070896576162917],[0.001153990081464199,0.036158331166053305,0.9389851818303021,0.004418496597911883,0.01928400032426852],[0.0029917504502016356,0.009958453108421549,0.0397113076271483,0.9456203823828515,0.0017181064313770312],[0.004878432072352452,0.010995534693139455,0.025258260202485817,0.008881691477142418,0.9499860815548798]]",0.12801864221017423,0.09079027735424217,1,12,0.07692307692307693,101.57530324231402,32.50532572554302,32.505325725543024,69.069977516771,1.7439627155796515,1.7469367464000851,True,True
5,0,cycle,"[[0.013616092104564626,0.9438375278303376,0.01916898912843142,0.000756668496001771,0.022620722440664636],[0.0750488104232781,0.014125255769746594,0.8827945301533902,0.023820769167160673,0.004210634486424438],[0.0017309851221962984,0.05423749674907995,0.02847777274545316,0.8866277448968678,0.028926000486402783],[0.004487625675302453,0.014937679662632321,0.05956696144072244,0.03843057357427723,0.8825771596470655],[0.8873176481085286,0.016493302039709182,0.03788739030372872,0.013322537215713626,0.04497912233231977]]",0.19327856742572083,0.16767557928688404,1,6,0.14285714285714285,44.84166840132926,1.369046354262359,1.369046354262359,43.4726220470669,1.6134428651485584,2.2062618994240086,True,True
5,0,reversible,"[[0.1973140777831962,0.23297729307763368,0.18680438676977176,0.19283620038596197,0.1900680419834364],[0.19990567641765017,0.35765099502950826,0.17869315048731904,0.0681096067838376,0.19564057128168502],[0.17768413396330293,0.19808790264717424,0.2916525050529377,0.2884592420094412,0.04411621632714407],[0.21089421526764873,0.08681063708638773,0.3316644935987526,0.0407106603319031,0.32991999371530784],[0.19268691291470424,0.231148196386167,0.04701969378893377,0.3058268782241833,0.22331831868601168]]",0.17867427674552872,0.9017354759466369,1,2,0.3333333333333333,12.474202448177673,1.8851462999864552,1.885146299986455,10.589056148191217,1.6426514465089426,6.041049056649388,True,True
