states,family,checkpoint,active_rows,production_L_t,cleanroom_L_t,absolute_L_t_error,production_theta,cleanroom_theta,production_beta_t,cleanroom_beta_t,absolute_beta_error,empirical_kernel_max_error,production_stop,cleanroom_stop
5,dense,1,1,2.7001400845362324,2.700140084536235,2.6645352591003757e-15,0.35,0.35,23.88830647881083,23.88830647881083,0.0,0.0,False,False
5,dense,2,2,4.054527143182343,4.054527143182347,4.440892098500626e-15,0.35,0.35,24.780880684067668,24.780880684067668,0.0,0.0,False,False
5,dense,5,3,7.076595244039794,7.0765952440398,6.217248937900877e-15,0.35,0.35,27.01934383580936,27.01934383580936,0.0,0.0,False,False
5,dense,10,4,11.529096703123585,11.52909670312361,2.4868995751603507e-14,0.35,0.35,30.067904043996947,30.067904043996947,0.0,0.0,False,False
5,dense,20,4,11.643927956404479,11.643927956404527,4.796163466380676e-14,0.35,0.35,34.915667939897396,34.915667939897396,0.0,0.0,False,False
5,dense,25,5,13.162128435280042,13.162128435280115,7.283063041541027e-14,0.35,0.35,37.542786085453685,37.54278608545368,7.105427357601002e-15,0.0,False,False
5,sticky,1,1,0.3343188681863216,0.3343188681863062,1.5432100042289676e-14,0.35,0.35,23.88830647881083,23.88830647881083,0.0,0.0,False,False
5,sticky,2,1,0.6686377363726432,0.6686377363726124,3.086420008457935e-14,0.35,0.35,24.61759270598665,24.61759270598665,0.0,0.0,False,False
5,sticky,5,1,1.4817493902063736,1.4817493902063918,1.8207657603852567e-14,0.35,0.35,26.239453138419307,26.239453138419307,0.0,0.0,False,False
5,sticky,10,2,5.402644467759155,5.402644467759357,2.0161650127192843e-13,0.35,0.35,29.48317400328462,29.48317400328462,0.0,0.0,False,False
5,sticky,20,3,10.24431251353553,10.244312513535796,2.6645352591003757e-13,0.35,0.35,34.02309373464056,34.02309373464056,0.0,0.0,False,False
5,sticky,25,3,12.307855034593599,12.307855034593953,3.5349501104064984e-13,0.35,0.35,36.44763694892182,36.44763694892182,0.0,0.0,False,False
5,cycle,1,1,0.4890096547233019,0.4890096547233052,3.3306690738754696e-15,0.35,0.35,23.88830647881083,23.88830647881083,0.0,0.0,False,False
5,cycle,2,2,2.6747134321643613,2.6747134321643733,1.199040866595169e-14,0.35,0.35,24.780880684067668,24.780880684067668,0.0,0.0,False,False
5,cycle,5,4,2.010816281037621,2.0108162810376364,1.554312234475219e-14,0.35,0.35,27.295315321757165,27.295315321757165,0.0,0.0,False,False
5,cycle,10,5,6.874591618006772,6.87459161800676,1.1546319456101628e-14,0.35,0.35,30.992350927850495,30.99235092785049,3.552713678800501e-15,0.0,False,False
5,cycle,20,5,5.938543815465348,5.938543815465354,6.217248937900877e-15,0.35,0.35,36.79568245688034,36.795682456880336,7.105427357601002e-15,0.0,False,False
5,cycle,25,5,8.112569264274411,8.112569264274441,3.019806626980426e-14,0.35,0.35,38.87218016320308,38.87218016320308,0.0,0.0,False,False
