counts,transitions,production_L_t,cleanroom_L_t,absolute_L_t_error,production_theta,cleanroom_theta,production_beta_t,cleanroom_beta_t,production_stop,cleanroom_stop
"[[1,0,0],[0,0,0],[0,0,0]]",1,0.009112901221471775,0.00911290122147221,4.354155924701786e-16,1.0,1.0,7.504077396776275,7.504077396776275,False,False
"[[0,1,0],[0,0,0],[0,0,0]]",1,4.103023109747635,4.103023109747563,7.194245199571014e-14,0.6,0.6,7.504077396776275,7.504077396776275,False,False
"[[0,0,1],[0,0,0],[0,0,0]]",1,5.311197651902652,5.311197651902652,0.0,0.6,0.6,7.504077396776275,7.504077396776275,False,False
"[[2,0,0],[0,0,0],[0,0,0]]",2,0.01822580244294355,0.01822580244294442,8.708311849403572e-16,1.0,1.0,8.079441541679836,8.079441541679836,False,False
"[[1,1,0],[0,0,0],[0,0,0]]",2,2.738420994953797,2.738420994953727,7.016609515630989e-14,0.6,0.6,8.079441541679836,8.079441541679836,False,False
"[[1,0,1],[0,0,0],[0,0,0]]",2,3.9465955371088137,3.946595537108815,1.3322676295501878e-15,0.6,0.6,8.079441541679836,8.079441541679836,False,False
"[[0,1,0],[1,0,0],[0,0,0]]",2,5.089949648463558,5.089949648463525,3.2862601528904634e-14,0.6,0.6,8.315007612992602,8.315007612992602,False,False
"[[0,1,0],[0,1,0],[0,0,0]]",2,4.724715356073688,4.724715356073582,1.056932319443149e-13,0.6,0.6,8.315007612992602,8.315007612992602,False,False
"[[0,1,0],[0,0,1],[0,0,0]]",2,6.508254043132267,6.508254043132233,3.375077994860476e-14,0.6,0.6,8.315007612992602,8.315007612992602,False,False
"[[0,0,1],[0,0,0],[1,0,0]]",2,5.689949648463559,5.6899496484635605,1.7763568394002505e-15,0.6,0.6,8.315007612992604,8.315007612992602,False,False
"[[0,0,1],[0,0,0],[0,1,0]]",2,9.19591636698158,9.195916366981507,7.283063041541027e-14,0.6,0.6,8.315007612992604,8.315007612992602,True,True
"[[0,0,1],[0,0,0],[0,0,1]]",2,6.532889898228705,6.532889898228705,0.0,0.6,0.6,8.315007612992604,8.315007612992602,False,False
"[[3,0,0],[0,0,0],[0,0,0]]",3,0.027338703664415324,0.027338703664416632,1.3079815008865125e-15,1.0,1.0,8.525728644308256,8.525728644308256,False,False
"[[2,1,0],[0,0,0],[0,0,0]]",3,2.236865097515302,2.2368650975152335,6.838973831690964e-14,0.6,0.6,8.525728644308256,8.525728644308256,False,False
"[[2,0,1],[0,0,0],[0,0,0]]",3,3.4450396396703185,3.445039639670321,2.6645352591003757e-15,0.6,0.6,8.525728644308256,8.525728644308256,False,False
"[[1,1,0],[1,0,0],[0,0,0]]",3,3.72534753366972,3.725347533669689,3.108624468950438e-14,0.6,0.6,8.890371757896164,8.890371757896164,False,False
"[[1,1,0],[0,1,0],[0,0,0]]",3,3.3601132412798496,3.3601132412797456,1.0391687510491465e-13,0.6,0.6,8.890371757896164,8.890371757896164,False,False
"[[1,1,0],[0,0,1],[0,0,0]]",3,5.1436519283384285,5.143651928338397,3.197442310920451e-14,0.6,0.6,8.890371757896164,8.890371757896164,False,False
"[[1,0,1],[0,0,0],[1,0,0]]",3,4.325347533669721,4.325347533669723,2.6645352591003757e-15,0.6,0.6,8.890371757896165,8.890371757896164,False,False
"[[1,0,1],[0,0,0],[0,1,0]]",3,7.831314252187742,7.831314252187671,7.105427357601002e-14,0.6,0.6,8.890371757896165,8.890371757896164,False,False
"[[1,0,1],[0,0,0],[0,0,1]]",3,5.168287783434867,5.168287783434868,1.7763568394002505e-15,0.6,0.6,8.890371757896165,8.890371757896164,False,False
"[[0,2,0],[1,0,0],[0,0,0]]",3,9.192972758211193,9.19297275821109,1.0302869668521453e-13,0.6,0.6,8.890371757896164,8.890371757896164,True,True
"[[0,1,1],[1,0,0],[0,0,0]]",3,9.01485293924632,9.014852939246287,3.197442310920451e-14,0.6,0.6,8.890371757896164,8.890371757896164,True,True
"[[0,1,0],[1,1,0],[0,0,0]]",3,4.32534753366972,4.325347533669654,6.572520305780927e-14,0.6,0.6,8.890371757896164,8.890371757896164,False,False
"[[0,1,0],[0,2,0],[0,0,0]]",3,5.34640760239974,5.3464076023996014,1.3855583347321954e-13,0.6,0.6,8.890371757896164,8.890371757896164,False,False
"[[0,1,0],[0,1,1],[0,0,0]]",3,5.743651928338428,5.743651928338361,6.750155989720952e-14,0.6,0.6,8.890371757896164,8.890371757896164,False,False
"[[0,1,0],[0,0,1],[1,0,0]]",3,6.887006039693174,6.887006039693141,3.2862601528904634e-14,0.6,0.6,9.125937829208931,9.125937829208931,False,False
"[[0,1,0],[0,0,1],[0,1,0]]",3,10.392972758211194,10.392972758211089,1.0480505352461478e-13,0.6,0.6,9.125937829208931,9.125937829208931,True,True
"[[0,1,0],[0,0,1],[0,0,1]]",3,7.7299462894583195,7.729946289458286,3.375077994860476e-14,0.6,0.6,9.125937829208931,9.125937829208931,False,False
"[[0,1,1],[0,0,0],[1,0,0]]",3,8.406678397091303,8.406678397091232,7.105427357601002e-14,0.6,0.6,8.890371757896165,8.890371757896164,False,False
"[[0,0,2],[0,0,0],[1,0,0]]",3,11.00114730036621,11.001147300366211,1.7763568394002505e-15,0.6,0.6,8.890371757896165,8.890371757896164,True,True
"[[0,0,1],[1,0,0],[0,1,0]]",3,10.182842905697502,10.18284290569747,3.197442310920451e-14,0.6,0.6,9.125937829208931,9.125937829208931,True,True
"[[0,0,1],[0,1,0],[0,1,0]]",3,9.817608613307632,9.817608613307527,1.0480505352461478e-13,0.6,0.6,9.125937829208931,9.125937829208931,True,True
"[[0,0,1],[0,0,1],[0,1,0]]",3,11.601147300366211,11.601147300366177,3.375077994860476e-14,0.6,0.6,9.125937829208931,9.125937829208931,True,True
"[[0,0,1],[0,0,0],[1,0,1]]",3,5.525347533669721,5.525347533669723,1.7763568394002505e-15,0.6,0.6,8.890371757896165,8.890371757896164,False,False
"[[0,0,1],[0,0,0],[0,1,1]]",3,9.031314252187741,9.03131425218767,7.105427357601002e-14,0.6,0.6,8.890371757896165,8.890371757896164,True,True
"[[0,0,1],[0,0,0],[0,0,2]]",3,7.754582144554757,7.7545821445547585,1.7763568394002505e-15,0.6,0.6,8.890371757896165,8.890371757896164,False,False
"[[4,0,0],[0,0,0],[0,0,0]]",4,0.0364516048858871,0.03645160488588884,1.7416623698807143e-15,1.0,1.0,8.890371757896164,8.890371757896164,False,False
"[[3,1,0],[0,0,0],[0,0,0]]",4,1.9187592702505603,1.9187592702504923,6.794564910705958e-14,0.6,0.6,8.890371757896164,8.890371757896164,False,False
"[[3,0,1],[0,0,0],[0,0,0]]",4,3.1269338124055768,3.1269338124055803,3.552713678800501e-15,0.6,0.6,8.890371757896164,8.890371757896164,False,False
"[[2,1,0],[1,0,0],[0,0,0]]",4,3.223791636231225,3.2237916362311956,2.930988785010413e-14,0.6,0.6,9.336658860524585,9.336658860524585,False,False
"[[2,1,0],[0,1,0],[0,0,0]]",4,2.8585573438413543,2.8585573438412526,1.0169642905566434e-13,0.6,0.6,9.336658860524585,9.336658860524585,False,False
"[[2,1,0],[0,0,1],[0,0,0]]",4,4.642096030899934,4.642096030899903,3.108624468950438e-14,0.6,0.6,9.336658860524585,9.336658860524585,False,False
"[[2,0,1],[0,0,0],[1,0,0]]",4,3.8237916362312254,3.8237916362312294,3.9968028886505635e-15,0.6,0.6,9.336658860524585,9.336658860524585,False,False
"[[2,0,1],[0,0,0],[0,1,0]]",4,7.329758354749247,7.329758354749178,6.927791673660977e-14,0.6,0.6,9.336658860524585,9.336658860524585,False,False
"[[2,0,1],[0,0,0],[0,0,1]]",4,4.666731885996372,4.6667318859963745,2.6645352591003757e-15,0.6,0.6,9.336658860524585,9.336658860524585,False,False
"[[1,2,0],[1,0,0],[0,0,0]]",4,7.305122499652807,7.305122499652705,1.021405182655144e-13,0.6,0.6,9.336658860524585,9.336658860524585,False,False
"[[1,1,1],[1,0,0],[0,0,0]]",4,7.127002680687934,7.1270026806879025,3.108624468950438e-14,0.6,0.6,9.336658860524585,9.336658860524585,False,False
"[[1,1,0],[1,1,0],[0,0,0]]",4,2.960745418875882,2.9607454188758173,6.483702463810914e-14,0.6,0.6,9.465735902799727,9.465735902799727,False,False
"[[1,1,0],[0,2,0],[0,0,0]]",4,3.981805487605902,3.9818054876057647,1.3722356584366935e-13,0.6,0.6,9.465735902799727,9.465735902799727,False,False
"[[1,1,0],[0,1,1],[0,0,0]]",4,4.37904981354459,4.379049813544524,6.572520305780927e-14,0.6,0.6,9.465735902799727,9.465735902799727,False,False
"[[1,1,0],[0,0,1],[1,0,0]]",4,5.5224039248993355,5.522403924899304,3.108624468950438e-14,0.6,0.6,9.701301974112493,9.701301974112493,False,False
"[[1,1,0],[0,0,1],[0,1,0]]",4,9.028370643417356,9.028370643417253,1.0302869668521453e-13,0.6,0.6,9.701301974112493,9.701301974112493,False,False
"[[1,1,0],[0,0,1],[0,0,1]]",4,6.365344174664481,6.3653441746644495,3.197442310920451e-14,0.6,0.6,9.701301974112493,9.701301974112493,False,False
"[[1,1,1],[0,0,0],[1,0,0]]",4,6.518828138532918,6.518828138532849,6.838973831690964e-14,0.6,0.6,9.336658860524585,9.336658860524585,False,False
"[[1,0,2],[0,0,0],[1,0,0]]",4,9.113297041807824,9.113297041807826,1.7763568394002505e-15,0.6,0.6,9.336658860524585,9.336658860524585,False,False
"[[1,0,1],[1,0,0],[0,1,0]]",4,8.818240790903664,8.818240790903634,3.019806626980426e-14,0.6,0.6,9.701301974112493,9.701301974112493,False,False
"[[1,0,1],[0,1,0],[0,1,0]]",4,8.453006498513794,8.45300649851369,1.0480505352461478e-13,0.6,0.6,9.701301974112493,9.701301974112493,False,False
"[[1,0,1],[0,0,1],[0,1,0]]",4,10.236545185572371,10.23654518557234,3.197442310920451e-14,0.6,0.6,9.701301974112493,9.701301974112493,True,True
"[[1,0,1],[0,0,0],[1,0,1]]",4,4.160745418875884,4.160745418875886,2.6645352591003757e-15,0.6,0.6,9.465735902799727,9.465735902799727,False,False
"[[1,0,1],[0,0,0],[0,1,1]]",4,7.666712137393903,7.666712137393834,6.927791673660977e-14,0.6,0.6,9.465735902799727,9.465735902799727,False,False
"[[1,0,1],[0,0,0],[0,0,2]]",4,6.389980029760919,6.389980029760921,2.6645352591003757e-15,0.6,0.6,9.465735902799727,9.465735902799727,False,False
"[[0,2,0],[2,0,0],[0,0,0]]",4,10.179899296927116,10.17989929692705,6.572520305780927e-14,0.6,0.6,9.465735902799727,9.465735902799727,True,True
"[[0,2,0],[1,1,0],[0,0,0]]",4,8.428370643417354,8.428370643417217,1.3677947663381929e-13,0.6,0.6,9.465735902799727,9.465735902799727,False,False
"[[0,2,0],[1,0,1],[0,0,0]]",4,10.211909330475933,10.211909330475867,6.572520305780927e-14,0.6,0.6,9.465735902799727,9.465735902799727,True,True
"[[0,1,1],[1,0,0],[1,0,0]]",4,9.393604935807225,9.393604935807195,3.019806626980426e-14,0.6,0.6,9.701301974112493,9.701301974112493,False,False
"[[0,1,1],[1,0,0],[0,1,0]]",4,12.899571654325246,12.899571654325143,1.0302869668521453e-13,0.6,0.6,9.701301974112493,9.701301974112493,True,True
"[[0,1,1],[1,0,0],[0,0,1]]",4,10.236545185572371,10.23654518557234,3.197442310920451e-14,0.6,0.6,9.701301974112493,9.701301974112493,True,True
"[[0,1,1],[1,1,0],[0,0,0]]",4,8.25025082445248,8.250250824452415,6.572520305780927e-14,0.6,0.6,9.465735902799727,9.465735902799727,False,False
"[[0,1,0],[1,2,0],[0,0,0]]",4,4.4237916362312255,4.423791636231124,1.0125233984581428e-13,0.6,0.6,9.336658860524585,9.336658860524585,False,False
"[[0,1,0],[0,3,0],[0,0,0]]",4,5.968099848725793,5.96809984872562,1.7319479184152442e-13,0.6,0.6,9.336658860524585,9.336658860524585,False,False
"[[0,1,0],[0,2,1],[0,0,0]]",4,5.842096030899933,5.842096030899832,1.0125233984581428e-13,0.6,0.6,9.336658860524585,9.336658860524585,False,False
"[[0,1,0],[0,1,1],[1,0,0]]",4,6.122403924899335,6.122403924899269,6.572520305780927e-14,0.6,0.6,9.701301974112493,9.701301974112493,False,False
"[[0,1,0],[0,1,1],[0,1,0]]",4,9.628370643417355,9.628370643417217,1.3855583347321954e-13,0.6,0.6,9.701301974112493,9.701301974112493,False,False
"[[0,1,0],[0,1,1],[0,0,1]]",4,6.96534417466448,6.965344174664414,6.661338147750939e-14,0.6,0.6,9.701301974112493,9.701301974112493,False,False
"[[0,2,0],[0,0,1],[1,0,0]]",4,10.990029149440808,10.990029149440705,1.0302869668521453e-13,0.6,0.6,9.701301974112493,9.701301974112493,True,True
"[[0,1,1],[0,0,1],[1,0,0]]",4,10.811909330475935,10.811909330475903,3.197442310920451e-14,0.6,0.6,9.701301974112493,9.701301974112493,True,True
"[[0,1,0],[1,0,1],[0,1,0]]",4,9.993604935807227,9.99360493580716,6.750155989720952e-14,0.6,0.6,9.701301974112493,9.701301974112493,True,True
"[[0,1,0],[0,0,2],[0,1,0]]",4,12.798203691595825,12.798203691595758,6.750155989720952e-14,0.6,0.6,9.701301974112493,9.701301974112493,True,True
"[[0,1,0],[0,0,1],[1,0,1]]",4,6.722403924899336,6.722403924899304,3.197442310920451e-14,0.6,0.6,9.701301974112493,9.701301974112493,False,False
"[[0,1,0],[0,0,1],[0,1,1]]",4,10.228370643417355,10.22837064341725,1.0480505352461478e-13,0.6,0.6,9.701301974112493,9.701301974112493,True,True
"[[0,1,0],[0,0,1],[0,0,2]]",4,8.951638535784372,8.951638535784339,3.375077994860476e-14,0.6,0.6,9.701301974112493,9.701301974112493,False,False
"[[0,1,1],[0,1,0],[1,0,0]]",4,9.028370643417356,9.02837064341725,1.0480505352461478e-13,0.6,0.6,9.701301974112493,9.701301974112493,False,False
"[[0,0,2],[0,0,0],[2,0,0]]",4,11.379899296927118,11.379899296927121,3.552713678800501e-15,0.6,0.6,9.465735902799727,9.465735902799727,True,True
"[[0,0,2],[0,0,0],[1,1,0]]",4,13.499571654325246,13.499571654325177,6.927791673660977e-14,0.6,0.6,9.465735902799727,9.465735902799727,True,True
"[[0,0,2],[0,0,0],[1,0,1]]",4,10.836545185572371,10.836545185572374,3.552713678800501e-15,0.6,0.6,9.465735902799727,9.465735902799727,True,True
"[[0,0,2],[1,0,0],[0,1,0]]",4,15.494040557600155,15.494040557600123,3.197442310920451e-14,0.6,0.6,9.701301974112493,9.701301974112493,True,True
"[[0,0,1],[1,1,0],[0,1,0]]",4,9.418240790903663,9.418240790903598,6.572520305780927e-14,0.6,0.6,9.701301974112493,9.701301974112493,False,False
"[[0,0,1],[0,2,0],[0,1,0]]",4,10.439300859633684,10.439300859633546,1.3855583347321954e-13,0.6,0.6,9.701301974112493,9.701301974112493,True,True
"[[0,0,1],[0,1,1],[0,1,0]]",4,10.836545185572373,10.836545185572305,6.750155989720952e-14,0.6,0.6,9.701301974112493,9.701301974112493,True,True
"[[0,0,1],[0,0,1],[1,1,0]]",4,10.593604935807226,10.593604935807194,3.197442310920451e-14,0.6,0.6,9.701301974112493,9.701301974112493,True,True
"[[0,0,1],[0,0,1],[0,2,0]]",4,15.485866015445136,15.485866015445033,1.0302869668521453e-13,0.6,0.6,9.701301974112493,9.701301974112493,True,True
"[[0,0,1],[0,0,1],[0,1,1]]",4,11.436545185572372,11.436545185572339,3.375077994860476e-14,0.6,0.6,9.701301974112493,9.701301974112493,True,True
"[[0,1,1],[0,0,0],[1,0,1]]",4,8.242076282297464,8.242076282297395,6.927791673660977e-14,0.6,0.6,9.465735902799727,9.465735902799727,False,False
"[[0,0,1],[1,0,0],[0,1,1]]",4,10.018240790903665,10.018240790903633,3.197442310920451e-14,0.6,0.6,9.701301974112493,9.701301974112493,True,True
"[[0,0,1],[0,1,0],[0,1,1]]",4,9.653006498513793,9.653006498513689,1.0480505352461478e-13,0.6,0.6,9.701301974112493,9.701301974112493,False,False
"[[0,0,1],[0,0,0],[1,0,2]]",4,6.223791636231226,6.223791636231228,1.7763568394002505e-15,0.6,0.6,9.336658860524585,9.336658860524585,False,False
"[[0,0,1],[0,0,0],[0,1,2]]",4,9.729758354749245,9.729758354749176,6.927791673660977e-14,0.6,0.6,9.336658860524585,9.336658860524585,True,True
"[[0,0,1],[0,0,0],[0,0,3]]",4,8.97627439088081,8.97627439088081,0.0,0.6,0.6,9.336658860524585,9.336658860524585,False,False
"[[5,0,0],[0,0,0],[0,0,0]]",5,0.045564506107358876,0.04556450610736105,2.1718737919229625e-15,1.0,1.0,9.198673117550682,9.198673117550682,False,False
"[[4,1,0],[0,0,0],[0,0,0]]",5,1.6877799773609068,1.6877799773608406,6.616929226765933e-14,0.6,0.6,9.198673117550682,9.198673117550682,False,False
"[[4,0,1],[0,0,0],[0,0,0]]",5,2.8959545195159233,2.895954519515929,5.773159728050814e-15,0.6,0.6,9.198673117550682,9.198673117550682,False,False
"[[3,1,0],[1,0,0],[0,0,0]]",5,2.905685808966483,2.9056858089664543,2.886579864025407e-14,0.6,0.6,9.701301974112493,9.701301974112493,False,False
"[[3,1,0],[0,1,0],[0,0,0]]",5,2.5404515165766126,2.5404515165765114,1.0125233984581428e-13,0.6,0.6,9.701301974112493,9.701301974112493,False,False
"[[3,1,0],[0,0,1],[0,0,0]]",5,4.323990203635192,4.323990203635161,3.019806626980426e-14,0.6,0.6,9.701301974112493,9.701301974112493,False,False
"[[3,0,1],[0,0,0],[1,0,0]]",5,3.5056858089664837,3.5056858089664886,4.884981308350689e-15,0.6,0.6,9.701301974112493,9.701301974112493,False,False
"[[3,0,1],[0,0,0],[0,1,0]]",5,7.011652527484505,7.011652527484436,6.838973831690964e-14,0.6,0.6,9.701301974112493,9.701301974112493,False,False
"[[3,0,1],[0,0,0],[0,0,1]]",5,4.34862605873163,4.348626058731633,3.552713678800501e-15,0.6,0.6,9.701301974112493,9.701301974112493,False,False
"[[2,2,0],[1,0,0],[0,0,0]]",5,6.4637685286235165,6.463768528623416,1.0036416142611415e-13,0.6,0.6,9.701301974112493,9.701301974112493,False,False
"[[2,1,1],[1,0,0],[0,0,0]]",5,6.285648709658644,6.285648709658614,3.019806626980426e-14,0.6,0.6,9.701301974112493,9.701301974112493,False,False
"[[2,1,0],[1,1,0],[0,0,0]]",5,2.459189521437387,2.459189521437324,6.306066779870889e-14,0.6,0.6,9.912023005428145,9.912023005428145,False,False
"[[2,1,0],[0,2,0],[0,0,0]]",5,3.4802495901674066,3.480249590167271,1.354472090042691e-13,0.6,0.6,9.912023005428145,9.912023005428145,False,False
"[[2,1,0],[0,1,1],[0,0,0]]",5,3.8774939161060953,3.877493916106031,6.439293542825908e-14,0.6,0.6,9.912023005428145,9.912023005428145,False,False
"[[2,1,0],[0,0,1],[1,0,0]]",5,5.02084802746084,5.020848027460811,2.842170943040401e-14,0.6,0.6,10.147589076740912,10.147589076740912,False,False
"[[2,1,0],[0,0,1],[0,1,0]]",5,8.52681474597886,8.526814745978758,1.0302869668521453e-13,0.6,0.6,10.147589076740912,10.147589076740912,False,False
"[[2,1,0],[0,0,1],[0,0,1]]",5,5.863788277225986,5.8637882772259555,3.019806626980426e-14,0.6,0.6,10.147589076740912,10.147589076740912,False,False
"[[2,1,1],[0,0,0],[1,0,0]]",5,5.677474167503628,5.6774741675035605,6.750155989720952e-14,0.6,0.6,9.701301974112493,9.701301974112493,False,False
"[[2,0,2],[0,0,0],[1,0,0]]",5,8.271943070778534,8.271943070778539,5.329070518200751e-15,0.6,0.6,9.701301974112493,9.701301974112493,False,False
"[[2,0,1],[1,0,0],[0,1,0]]",5,8.316684893465169,8.316684893465139,3.019806626980426e-14,0.6,0.6,10.147589076740912,10.147589076740912,False,False
"[[2,0,1],[0,1,0],[0,1,0]]",5,7.951450601075299,7.951450601075196,1.0302869668521453e-13,0.6,0.6,10.147589076740912,10.147589076740912,False,False
"[[2,0,1],[0,0,1],[0,1,0]]",5,9.734989288133878,9.734989288133846,3.197442310920451e-14,0.6,0.6,10.147589076740912,10.147589076740912,False,False
"[[2,0,1],[0,0,0],[1,0,1]]",5,3.659189521437388,3.659189521437392,3.9968028886505635e-15,0.6,0.6,9.912023005428146,9.912023005428145,False,False
"[[2,0,1],[0,0,0],[0,1,1]]",5,7.165156239955408,7.16515623995534,6.838973831690964e-14,0.6,0.6,9.912023005428146,9.912023005428145,False,False
"[[2,0,1],[0,0,0],[0,0,2]]",5,5.888424132322424,5.888424132322427,3.552713678800501e-15,0.6,0.6,9.912023005428146,9.912023005428145,False,False
"[[1,2,0],[2,0,0],[0,0,0]]",5,8.29204903836873,8.292049038368667,6.394884621840902e-14,0.6,0.6,9.912023005428145,9.912023005428145,False,False
