theta,trial,seed,initial_state,alpha,horizon,stopped,stopping_time
0.4,0,260517587,0,0.05000000000000001,10000,False,
0.4,0,260517587,0,0.009999999999999995,10000,False,
0.42000000000000004,1,260517588,0,0.05000000000000001,10000,False,
0.42000000000000004,1,260517588,0,0.009999999999999995,10000,False,
0.44,2,260517589,0,0.05000000000000001,10000,False,
0.44,2,260517589,0,0.009999999999999995,10000,False,
0.46,3,260517590,0,0.05000000000000001,10000,False,
0.46,3,260517590,0,0.009999999999999995,10000,False,
0.48000000000000004,4,260517591,0,0.05000000000000001,10000,False,
0.48000000000000004,4,260517591,0,0.009999999999999995,10000,False,
0.5,5,260517592,0,0.05000000000000001,10000,False,
0.5,5,260517592,0,0.009999999999999995,10000,False,
0.52,6,260517593,0,0.05000000000000001,10000,False,
0.52,6,260517593,0,0.009999999999999995,10000,False,
0.54,7,260517594,0,0.05000000000000001,10000,False,
0.54,7,260517594,0,0.009999999999999995,10000,False,
0.56,8,260517595,0,0.05000000000000001,10000,False,
0.56,8,260517595,0,0.009999999999999995,10000,False,
0.5800000000000001,9,260517596,0,0.05000000000000001,10000,False,
0.5800000000000001,9,260517596,0,0.009999999999999995,10000,False,
0.6000000000000001,10,260517597,0,0.05000000000000001,10000,False,
0.6000000000000001,10,260517597,0,0.009999999999999995,10000,False,
0.6200000000000001,11,260517598,0,0.05000000000000001,10000,False,
0.6200000000000001,11,260517598,0,0.009999999999999995,10000,False,
0.6400000000000001,12,260517599,0,0.05000000000000001,10000,False,
0.6400000000000001,12,260517599,0,0.009999999999999995,10000,False,
0.66,13,260517600,0,0.05000000000000001,10000,False,
0.66,13,260517600,0,0.009999999999999995,10000,False,
0.68,14,260517601,0,0.05000000000000001,10000,False,
0.68,14,260517601,0,0.009999999999999995,10000,False,
0.7,15,260517602,0,0.05000000000000001,10000,False,
0.7,15,260517602,0,0.009999999999999995,10000,False,
0.72,16,260517603,0,0.05000000000000001,10000,False,
0.72,16,260517603,0,0.009999999999999995,10000,False,
0.74,17,260517604,0,0.05000000000000001,10000,False,
0.74,17,260517604,0,0.009999999999999995,10000,False,
0.76,18,260517605,0,0.05000000000000001,10000,False,
0.76,18,260517605,0,0.009999999999999995,10000,False,
0.78,19,260517606,0,0.05000000000000001,10000,False,
