theta,projection_theta,log_inverse_alpha,independent_paths,mean_tau,se_tau,upper95_mean_tau,mean_tau_over_log,upper95_tau_over_log,target_inverse_D,upper95_relative_to_target
-0.8,0.4000000060480353,320.0,128,546.7265625,3.2072198565328405,552.0407344708794,1.7085205078125,1.7251272952214982,1.3830064409327252,1.2473747367785506
-0.8,0.4000000060480353,640.0,128,1008.6015625,4.077608034611215,1015.3579157576745,1.57593994140625,1.5864967433713664,1.3830064409327252,1.1471361928736958
-0.8,0.4000000060480353,1280.0,128,1910.5,5.699992229584425,1919.944547083041,1.492578125,1.4999566774086257,1.3830064409327252,1.0845623223540646
-0.8,0.4000000060480353,2560.0,128,3695.640625,7.703790788735715,3708.4053467560184,1.443609619140625,1.4485958385765696,1.3830064409327252,1.0474252293428292
-0.8,0.4000000060480353,5120.0,128,7251.515625,11.054535448545302,7269.832330763746,1.4163116455078124,1.419889127102294,1.3830064409327252,1.0266684847430605
-0.6,0.4000000060480353,320.0,128,755.6640625,4.539812908920448,763.1862616608965,2.3614501953125,2.384957067690302,1.9026336161490338,1.2535030640936007
-0.6,0.4000000060480353,640.0,128,1393.625,6.079302857100183,1403.698042164504,2.1775390625,2.1932781908820376,1.9026336161490338,1.1527590873335212
-0.6,0.4000000060480353,1280.0,128,2636.90625,9.334640405684885,2652.373192280582,2.0600830078125,2.0721665564692047,1.9026336161490338,1.089104354554246
-0.6,0.4000000060480353,2560.0,128,5098.6328125,12.226344421780318,5118.891135826416,1.9916534423828125,1.9995668499321937,1.9026336161490338,1.0509468733025724
-0.6,0.4000000060480353,5120.0,128,9993.5390625,16.752665723739227,10021.29723019944,1.9518630981445313,1.957284615273328,1.9026336161490338,1.0287238691992149
-0.4,0.4000000060480353,320.0,128,1231.078125,9.488743132373244,1246.800406305481,3.847119140625,3.896251269704628,3.024530798857232,1.2882167611507747
-0.4,0.4000000060480353,640.0,128,2240.078125,11.911323483881722,2259.8144774253533,3.5001220703125,3.5309601209771144,3.024530798857232,1.1674406232898105
-0.4,0.4000000060480353,1280.0,128,4242.90625,16.27258589953593,4269.868954070598,3.3147705078125,3.335835120367655,3.024530798857232,1.1029264842097306
-0.4,0.4000000060480353,2560.0,128,8149.546875,20.934250568671526,8184.233679328927,3.183416748046875,3.196966280987862,3.024530798857232,1.057012308221752
-0.4,0.4000000060480353,5120.0,128,15898.6953125,30.431660235828026,15949.118758065528,3.105213928222656,3.1150622574346736,3.024530798857232,1.0299323976504546
