theta,trial,seed,initial_state,log_inverse_alpha,stopping_time
-0.8,0,260417587,0,320.0,578
-0.8,0,260417587,0,640.0,1009
-0.8,0,260417587,0,1280.0,1944
-0.8,0,260417587,0,2560.0,3739
-0.8,0,260417587,0,5120.0,7214
-0.8,1,260417588,1,320.0,544
-0.8,1,260417588,1,640.0,962
-0.8,1,260417588,1,1280.0,1894
-0.8,1,260417588,1,2560.0,3665
-0.8,1,260417588,1,5120.0,7085
-0.8,2,260417589,2,320.0,486
-0.8,2,260417589,2,640.0,940
-0.8,2,260417589,2,1280.0,1814
-0.8,2,260417589,2,2560.0,3664
-0.8,2,260417589,2,5120.0,7302
-0.8,3,260417590,3,320.0,575
-0.8,3,260417590,3,640.0,1010
-0.8,3,260417590,3,1280.0,1963
-0.8,3,260417590,3,2560.0,3664
-0.8,3,260417590,3,5120.0,7272
-0.8,4,260417591,4,320.0,482
-0.8,4,260417591,4,640.0,997
-0.8,4,260417591,4,1280.0,1898
-0.8,4,260417591,4,2560.0,3693
-0.8,4,260417591,4,5120.0,7223
-0.8,5,260417592,0,320.0,495
-0.8,5,260417592,0,640.0,939
-0.8,5,260417592,0,1280.0,1804
-0.8,5,260417592,0,2560.0,3570
-0.8,5,260417592,0,5120.0,7132
-0.8,6,260417593,1,320.0,535
-0.8,6,260417593,1,640.0,959
-0.8,6,260417593,1,1280.0,1853
-0.8,6,260417593,1,2560.0,3686
-0.8,6,260417593,1,5120.0,7208
-0.8,7,260417594,2,320.0,549
-0.8,7,260417594,2,640.0,1032
-0.8,7,260417594,2,1280.0,1949
-0.8,7,260417594,2,2560.0,3770
-0.8,7,260417594,2,5120.0,7388
-0.8,8,260417595,3,320.0,579
-0.8,8,260417595,3,640.0,1068
-0.8,8,260417595,3,1280.0,1968
-0.8,8,260417595,3,2560.0,3804
-0.8,8,260417595,3,5120.0,7304
-0.8,9,260417596,4,320.0,534
-0.8,9,260417596,4,640.0,1025
-0.8,9,260417596,4,1280.0,1888
-0.8,9,260417596,4,2560.0,3666
-0.8,9,260417596,4,5120.0,7287
-0.8,10,260417597,0,320.0,513
-0.8,10,260417597,0,640.0,1018
-0.8,10,260417597,0,1280.0,1888
-0.8,10,260417597,0,2560.0,3650
-0.8,10,260417597,0,5120.0,7217
-0.8,11,260417598,1,320.0,537
-0.8,11,260417598,1,640.0,1027
-0.8,11,260417598,1,1280.0,1907
-0.8,11,260417598,1,2560.0,3712
-0.8,11,260417598,1,5120.0,7324
-0.8,12,260417599,2,320.0,597
-0.8,12,260417599,2,640.0,1093
-0.8,12,260417599,2,1280.0,1952
-0.8,12,260417599,2,2560.0,3766
-0.8,12,260417599,2,5120.0,7268
-0.8,13,260417600,3,320.0,559
-0.8,13,260417600,3,640.0,1037
-0.8,13,260417600,3,1280.0,1881
-0.8,13,260417600,3,2560.0,3732
-0.8,13,260417600,3,5120.0,7269
-0.8,14,260417601,4,320.0,543
-0.8,14,260417601,4,640.0,979
-0.8,14,260417601,4,1280.0,1844
-0.8,14,260417601,4,2560.0,3591
-0.8,14,260417601,4,5120.0,7271
-0.8,15,260417602,0,320.0,533
-0.8,15,260417602,0,640.0,1114
-0.8,15,260417602,0,1280.0,2051
-0.8,15,260417602,0,2560.0,3834
-0.8,15,260417602,0,5120.0,7433
-0.8,16,260417603,1,320.0,589
-0.8,16,260417603,1,640.0,1068
