truth,trial,seed,alpha,beta,decision,error,stopping_time
Q,0,260717587,0.05,0.05,Q,False,111
Q,0,260717587,0.05,0.01,Q,False,111
Q,0,260717587,0.01,0.05,Q,False,114
Q,1,260717588,0.05,0.05,Q,False,73
Q,1,260717588,0.05,0.01,Q,False,73
Q,1,260717588,0.01,0.05,Q,False,74
Q,2,260717589,0.05,0.05,Q,False,88
Q,2,260717589,0.05,0.01,Q,False,88
Q,2,260717589,0.01,0.05,Q,False,90
Q,3,260717590,0.05,0.05,Q,False,69
Q,3,260717590,0.05,0.01,Q,False,69
Q,3,260717590,0.01,0.05,Q,False,70
Q,4,260717591,0.05,0.05,Q,False,83
Q,4,260717591,0.05,0.01,Q,False,83
Q,4,260717591,0.01,0.05,Q,False,84
Q,5,260717592,0.05,0.05,Q,False,55
Q,5,260717592,0.05,0.01,Q,False,55
Q,5,260717592,0.01,0.05,Q,False,60
Q,6,260717593,0.05,0.05,Q,False,103
Q,6,260717593,0.05,0.01,Q,False,103
Q,6,260717593,0.01,0.05,Q,False,108
Q,7,260717594,0.05,0.05,Q,False,61
Q,7,260717594,0.05,0.01,Q,False,61
Q,7,260717594,0.01,0.05,Q,False,65
Q,8,260717595,0.05,0.05,Q,False,64
Q,8,260717595,0.05,0.01,Q,False,64
Q,8,260717595,0.01,0.05,Q,False,65
Q,9,260717596,0.05,0.05,Q,False,58
Q,9,260717596,0.05,0.01,Q,False,58
Q,9,260717596,0.01,0.05,Q,False,59
Q,10,260717597,0.05,0.05,Q,False,151
Q,10,260717597,0.05,0.01,Q,False,151
Q,10,260717597,0.01,0.05,Q,False,156
Q,11,260717598,0.05,0.05,Q,False,120
Q,11,260717598,0.05,0.01,Q,False,120
Q,11,260717598,0.01,0.05,Q,False,140
Q,12,260717599,0.05,0.05,Q,False,114
Q,12,260717599,0.05,0.01,Q,False,114
Q,12,260717599,0.01,0.05,Q,False,115
Q,13,260717600,0.05,0.05,Q,False,98
Q,13,260717600,0.05,0.01,Q,False,98
Q,13,260717600,0.01,0.05,Q,False,100
Q,14,260717601,0.05,0.05,Q,False,37
Q,14,260717601,0.05,0.01,Q,False,37
Q,14,260717601,0.01,0.05,Q,False,43
Q,15,260717602,0.05,0.05,Q,False,75
Q,15,260717602,0.05,0.01,Q,False,75
Q,15,260717602,0.01,0.05,Q,False,80
Q,16,260717603,0.05,0.05,Q,False,89
Q,16,260717603,0.05,0.01,Q,False,89
Q,16,260717603,0.01,0.05,Q,False,92
Q,17,260717604,0.05,0.05,Q,False,85
Q,17,260717604,0.05,0.01,Q,False,85
Q,17,260717604,0.01,0.05,Q,False,86
Q,18,260717605,0.05,0.05,Q,False,63
Q,18,260717605,0.05,0.01,Q,False,63
Q,18,260717605,0.01,0.05,Q,False,67
Q,19,260717606,0.05,0.05,Q,False,52
Q,19,260717606,0.05,0.01,Q,False,52
Q,19,260717606,0.01,0.05,Q,False,53
Q,20,260717607,0.05,0.05,Q,False,52
Q,20,260717607,0.05,0.01,Q,False,52
Q,20,260717607,0.01,0.05,Q,False,53
Q,21,260717608,0.05,0.05,Q,False,91
Q,21,260717608,0.05,0.01,Q,False,91
Q,21,260717608,0.01,0.05,Q,False,105
Q,22,260717609,0.05,0.05,Q,False,97
Q,22,260717609,0.05,0.01,Q,False,97
Q,22,260717609,0.01,0.05,Q,False,99
Q,23,260717610,0.05,0.05,Q,False,85
Q,23,260717610,0.05,0.01,Q,False,85
Q,23,260717610,0.01,0.05,Q,False,86
Q,24,260717611,0.05,0.05,Q,False,94
Q,24,260717611,0.05,0.01,Q,False,94
Q,24,260717611,0.01,0.05,Q,False,95
Q,25,260717612,0.05,0.05,Q,False,52
Q,25,260717612,0.05,0.01,Q,False,52
Q,25,260717612,0.01,0.05,Q,False,71
Q,26,260717613,0.05,0.05,Q,False,51
Q,26,260717613,0.05,0.01,Q,False,51
Q,26,260717613,0.01,0.05,Q,False,53
Q,27,260717614,0.05,0.05,Q,False,131
Q,27,260717614,0.05,0.01,Q,False,131
Q,27,260717614,0.01,0.05,Q,False,142
Q,28,260717615,0.05,0.05,Q,False,92
Q,28,260717615,0.05,0.01,Q,False,92
Q,28,260717615,0.01,0.05,Q,False,94
Q,29,260717616,0.05,0.05,Q,False,76
Q,29,260717616,0.05,0.01,Q,False,76
Q,29,260717616,0.01,0.05,Q,False,99
Q,30,260717617,0.05,0.05,Q,False,41
Q,30,260717617,0.05,0.01,Q,False,41
Q,30,260717617,0.01,0.05,Q,False,42
Q,31,260717618,0.05,0.05,Q,False,65
Q,31,260717618,0.05,0.01,Q,False,65
Q,31,260717618,0.01,0.05,Q,False,82
Q,32,260717619,0.05,0.05,Q,False,89
Q,32,260717619,0.05,0.01,Q,False,89
Q,32,260717619,0.01,0.05,Q,False,94
Q,33,260717620,0.05,0.05,Q,False,96
Q,33,260717620,0.05,0.01,Q,False,96
Q,33,260717620,0.01,0.05,Q,False,97
Q,34,260717621,0.05,0.05,Q,False,106
Q,34,260717621,0.05,0.01,Q,False,106
Q,34,260717621,0.01,0.05,Q,False,107
