truth,rate_log_beta_over_log_alpha,log_inverse_alpha,log_inverse_beta,independent_paths,errors,mean_tau,se_tau,lower95_mean_tau,upper95_mean_tau,normalizer,mean_tau_over_normalizer,upper95_relative_to_target,target_inverse_D,bernoulli_kl_term,poisson_correction,full_nonasymptotic_lower_bound,lower95_exceeds_full_bound
Q,0.5,320.0,160.0,128,0,769.1171875,4.84720550598413,761.0856571437243,777.1487178562757,320.0,2.4034912109375,1.2764358427642903,1.9026336161490338,320.0,321.22657627464133,287.6161808930495,True
Q,1.0,320.0,320.0,128,0,769.1171875,4.84720550598413,761.0856571437243,777.1487178562757,320.0,2.4034912109375,1.2764358427642903,1.9026336161490338,320.0,321.22657627464133,287.6161808930495,True
Q,2.0,320.0,640.0,128,0,769.1171875,4.84720550598413,761.0856571437243,777.1487178562757,320.0,2.4034912109375,1.2764358427642903,1.9026336161490338,320.0,321.22657627464133,287.6161808930495,True
Q,0.5,640.0,320.0,128,0,1403,6.270674466731352,1392.6098664948909,1413.3901335051091,640.0,2.1921875,1.1607185245005924,1.9026336161490338,640.0,321.22657627464133,896.4589380607404,True
Q,1.0,640.0,640.0,128,0,1403,6.270674466731352,1392.6098664948909,1413.3901335051091,640.0,2.1921875,1.1607185245005924,1.9026336161490338,640.0,321.22657627464133,896.4589380607404,True
Q,2.0,640.0,1280.0,128,0,1403,6.270674466731352,1392.6098664948909,1413.3901335051091,640.0,2.1921875,1.1607185245005924,1.9026336161490338,640.0,321.22657627464133,896.4589380607404,True
Q,0.5,1280.0,640.0,128,0,2648.8203125,7.514589104447419,2636.369086647744,2661.271538352256,1280.0,2.069390869140625,1.0927581493834186,1.9026336161490338,1280.0,321.22657627464133,2114.144452396122,True
Q,1.0,1280.0,1280.0,128,0,2648.8203125,7.514589104447419,2636.369086647744,2661.271538352256,1280.0,2.069390869140625,1.0927581493834186,1.9026336161490338,1280.0,321.22657627464133,2114.144452396122,True
Q,2.0,1280.0,2560.0,128,0,2648.8203125,7.514589104447419,2636.369086647744,2661.271538352256,1280.0,2.069390869140625,1.0927581493834186,1.9026336161490338,1280.0,321.22657627464133,2114.144452396122,True
Q,0.5,2560.0,1280.0,128,0,5098.0859375,10.965861862874187,5079.916158577759,5116.255716422241,2560.0,1.9914398193359375,1.050405801865582,1.9026336161490338,2560.0,321.22657627464133,4549.5154810668855,True
Q,1.0,2560.0,2560.0,128,0,5098.0859375,10.965861862874187,5079.916158577759,5116.255716422241,2560.0,1.9914398193359375,1.050405801865582,1.9026336161490338,2560.0,321.22657627464133,4549.5154810668855,True
Q,2.0,2560.0,5120.0,128,0,5098.0859375,10.965861862874187,5079.916158577759,5116.255716422241,2560.0,1.9914398193359375,1.050405801865582,1.9026336161490338,2560.0,321.22657627464133,4549.5154810668855,True
Q,0.5,5120.0,2560.0,128,0,9987.359375,16.211009910544092,9960.498698669755,10014.220051330245,5120.0,1.9506561279296875,1.0279973701580138,1.9026336161490338,5120.0,321.22657627464133,9420.257538408412,True
Q,1.0,5120.0,5120.0,128,0,9987.359375,16.211009910544092,9960.498698669755,10014.220051330245,5120.0,1.9506561279296875,1.0279973701580138,1.9026336161490338,5120.0,321.22657627464133,9420.257538408412,True
Q,2.0,5120.0,10240.0,128,0,9987.359375,16.211009910544092,9960.498698669755,10014.220051330245,5120.0,1.9506561279296875,1.0279973701580138,1.9026336161490338,5120.0,321.22657627464133,9420.257538408412,True
P,0.5,320.0,160.0,128,0,803.7578125,5.436696656351883,794.7495304745224,812.7660945254776,160.0,5.023486328125,1.3466757436785695,3.772094444137178,160.0,11908.223596158046,0.0,True
P,1.0,320.0,320.0,128,0,1441.5703125,6.322343942119837,1431.0945657565903,1452.0460592434097,320.0,4.5049072265625,1.2029507750497448,3.772094444137178,320.0,11908.223596158046,0.0,True
P,2.0,320.0,640.0,128,0,2692.59375,8.290622945610272,2678.856682368372,2706.330817631628,640.0,4.207177734375,1.1210328811151151,3.772094444137178,640.0,11908.223596158046,0.0,True
P,0.5,640.0,320.0,128,0,1441.5703125,6.322343942119837,1431.0945657565903,1452.0460592434097,320.0,4.5049072265625,1.2029507750497448,3.772094444137178,320.0,11908.223596158046,0.0,True
P,1.0,640.0,640.0,128,0,2692.59375,8.290622945610272,2678.856682368372,2706.330817631628,640.0,4.207177734375,1.1210328811151151,3.772094444137178,640.0,11908.223596158046,0.0,True
P,2.0,640.0,1280.0,128,0,5148.6484375,10.5493869812229,5131.168732611237,5166.128142388763,1280.0,4.022381591796875,1.0699725765123085,3.772094444137178,1280.0,11908.223596158046,0.0,True
P,0.5,1280.0,640.0,128,0,2692.59375,8.290622945610272,2678.856682368372,2706.330817631628,640.0,4.207177734375,1.1210328811151151,3.772094444137178,640.0,11908.223596158046,0.0,True
P,1.0,1280.0,1280.0,128,0,5148.6484375,10.5493869812229,5131.168732611237,5166.128142388763,1280.0,4.022381591796875,1.0699725765123085,3.772094444137178,1280.0,11908.223596158046,0.0,True
P,2.0,1280.0,2560.0,128,0,10035.4921875,14.836651570835274,10010.908740949293,10060.075634050707,2560.0,3.9201141357421876,1.0417864936173233,3.772094444137178,2560.0,11908.223596158046,0.0,True
P,0.5,2560.0,1280.0,128,0,5148.6484375,10.5493869812229,5131.168732611237,5166.128142388763,1280.0,4.022381591796875,1.0699725765123085,3.772094444137178,1280.0,11908.223596158046,0.0,True
P,1.0,2560.0,2560.0,128,0,10035.4921875,14.836651570835274,10010.908740949293,10060.075634050707,2560.0,3.9201141357421876,1.0417864936173233,3.772094444137178,2560.0,11908.223596158046,0.0,True
P,2.0,2560.0,5120.0,128,0,19756.9296875,20.26331092479849,19723.354590135084,19790.504784864916,5120.0,3.858775329589844,1.0247179711530467,3.772094444137178,5120.0,11908.223596158046,7404.899957824307,True
P,0.5,5120.0,2560.0,128,0,10035.4921875,14.836651570835274,10010.908740949293,10060.075634050707,2560.0,3.9201141357421876,1.0417864936173233,3.772094444137178,2560.0,11908.223596158046,0.0,True
P,1.0,5120.0,5120.0,128,0,19756.9296875,20.26331092479849,19723.354590135084,19790.504784864916,5120.0,3.858775329589844,1.0247179711530467,3.772094444137178,5120.0,11908.223596158046,7404.899957824307,True
P,2.0,5120.0,10240.0,128,0,39153.71875,27.566182747832702,39108.04322968783,39199.39427031217,10240.0,3.8236053466796873,1.0148382823924222,3.772094444137178,10240.0,11908.223596158046,26718.023511806663,True
