truth,trial,seed,initial_state,rate_log_beta_over_log_alpha,log_inverse_alpha,log_inverse_beta,p_test_crossing,q_test_crossing,stopping_time,decision,error
Q,0,260617587,0,0.5,320.0,160.0,731,,731,Q,False
Q,0,260617587,0,1.0,320.0,320.0,731,,731,Q,False
Q,0,260617587,0,2.0,320.0,640.0,731,,731,Q,False
Q,0,260617587,0,0.5,640.0,320.0,1434,,1434,Q,False
Q,0,260617587,0,1.0,640.0,640.0,1434,,1434,Q,False
Q,0,260617587,0,2.0,640.0,1280.0,1434,,1434,Q,False
Q,0,260617587,0,0.5,1280.0,640.0,2671,,2671,Q,False
Q,0,260617587,0,1.0,1280.0,1280.0,2671,,2671,Q,False
Q,0,260617587,0,2.0,1280.0,2560.0,2671,,2671,Q,False
Q,0,260617587,0,0.5,2560.0,1280.0,5073,,5073,Q,False
Q,0,260617587,0,1.0,2560.0,2560.0,5073,,5073,Q,False
Q,0,260617587,0,2.0,2560.0,5120.0,5073,,5073,Q,False
Q,0,260617587,0,0.5,5120.0,2560.0,9865,,9865,Q,False
Q,0,260617587,0,1.0,5120.0,5120.0,9865,,9865,Q,False
Q,0,260617587,0,2.0,5120.0,10240.0,9865,,9865,Q,False
Q,1,260617588,1,0.5,320.0,160.0,800,,800,Q,False
Q,1,260617588,1,1.0,320.0,320.0,800,,800,Q,False
Q,1,260617588,1,2.0,320.0,640.0,800,,800,Q,False
Q,1,260617588,1,0.5,640.0,320.0,1415,,1415,Q,False
Q,1,260617588,1,1.0,640.0,640.0,1415,,1415,Q,False
Q,1,260617588,1,2.0,640.0,1280.0,1415,,1415,Q,False
Q,1,260617588,1,0.5,1280.0,640.0,2655,,2655,Q,False
Q,1,260617588,1,1.0,1280.0,1280.0,2655,,2655,Q,False
Q,1,260617588,1,2.0,1280.0,2560.0,2655,,2655,Q,False
Q,1,260617588,1,0.5,2560.0,1280.0,5181,,5181,Q,False
Q,1,260617588,1,1.0,2560.0,2560.0,5181,,5181,Q,False
Q,1,260617588,1,2.0,2560.0,5120.0,5181,,5181,Q,False
